life,arm,sleep,prev_sleep,n_new_items,n_thinking_new,n_new_notes,unknown_share,G_rate,N_rate,N_none_share,F_rate,D_rate,P_rate,T_top_template_share,T_near_dup_share,admission_hi,admission_lo,articulation_hi,articulation_lo,life_admission_hi_so_far,life_admission_lo_so_far,final_corpus_thinking_items,final_corpus_survive_share,top_reasons,top_template
R2_B_seed2,R2,0032,,127,39,20,0.0,0.0,1.0,0.9,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,no-content=13; no-result-number=4; no-pass-run-here=2; practice-only=1,this is a new program so i expect a moderate improvement in the instruction count i will start with a common sequence of passes and see how it performs if this 
R2_B_seed2,R2,0064,0032,113,34,37,0.0,0.0,0.0,0.972972972972973,0.02702702702702703,0.24324324324324326,0.08108108108108109,0.21621621621621623,0.24324324324324326,0.0,0.0,0.0,0.0,0.0,0.0,,,no-result-number=17; no-content=16; practice-only=3; result-numbers-unmatched=1,initial passes <PASS> <PASS> <PASS> <PASS>
R2_B_seed2,R2,0096,0064,57,18,30,0.0,0.03333333333333333,1.0,0.9333333333333333,0.0,0.13333333333333333,0.03333333333333333,0.06666666666666667,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.0,0.0,0.011494252873563218,0.011494252873563218,,,no-content=14; no-result-number=13; no-pass-run-here=1; practice-only=1,will observe the outcome and decide on the next steps based on the reduction achieved
R2_B_seed2,R2,0128,0096,9,6,13,0.0,0.07692307692307693,1.0,0.8461538461538461,0.0,0.23076923076923078,0.0,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.0,0.0,0.02,0.02,,,no-content=9; no-result-number=2; no-pass-run-here=1,initial expectation is <NUM> <NUM> based on past performance will observe the outcome and decide on the next steps
R2_B_seed2,R2,0160,0128,54,40,88,0.0,0.0,,1.0,0.0,0.3522727272727273,0.03409090909090909,0.06818181818181818,0.375,0.0,0.0,0.0,0.0,0.010638297872340425,0.010638297872340425,,,no-result-number=43; no-content=42; practice-only=3,initial sequence <PASS> <PASS> <PASS> <PASS>
R2_B_seed2,R2,0192,0160,46,38,79,0.0,0.0,,1.0,0.0,0.13924050632911392,0.0,0.0379746835443038,0.17721518987341772,0.0,0.0,0.0,0.0,0.00749063670411985,0.00749063670411985,,,no-content=46; no-result-number=30; prediction-only=3,initial expectation is <NUM> reduction will observe and form a new plan based on the outcome
R2_B_seed2,R2,0224,0192,45,40,85,0.0,0.0,,1.0,0.0,0.15294117647058825,0.011764705882352941,0.058823529411764705,0.2,0.0,0.0,0.0,0.0,0.005681818181818182,0.005681818181818182,,,no-content=60; no-result-number=22; prediction-only=2; practice-only=1,initial expectation is <NUM> reduction will observe outcome and form new theory based on this
R2_B_seed2,R2,0256,0224,44,37,76,0.0,0.0,,1.0,0.0,0.3026315789473684,0.013157894736842105,0.15789473684210525,0.3815789473684211,0.0,0.0,0.0,0.0,0.004672897196261682,0.004672897196261682,,,no-content=47; no-result-number=23; prediction-only=5; practice-only=1,initial expectation is <NUM> reduction will observe outcome and form new theory based on this
R2_B_seed2,R2,0288,0256,48,40,76,0.0,0.0,0.0,0.9868421052631579,0.0,0.47368421052631576,0.013157894736842105,0.19736842105263158,0.5263157894736842,0.0,0.0,0.0,0.0,0.003968253968253968,0.003968253968253968,,,no-content=42; no-result-number=27; prediction-only=5; result-numbers-unmatched=1; practice-only=1,initial expectation is <NUM> reduction will observe outcome and form new theory based on this
R2_B_seed2,R2,0320,0288,45,41,76,0.0,0.0,,1.0,0.0,0.6052631578947368,0.02631578947368421,0.23684210526315788,0.631578947368421,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0034482758620689655,,,no-content=54; no-result-number=14; prediction-only=6; practice-only=2,initial expectation is <NUM> reduction will observe outcome and form new theory based on this
