life,arm,sleep,n_items,n_thinking,n_qa,n_episodic,n_reflection,n_principle,n_other,n_notes,first_person,prospective,retrospective,generic,specific,mean_note_words,prev_sleep,cumulative,n_new,n_dropped,new_n_notes,new_first_person,new_prospective,new_retrospective,new_generic,new_specific,new_mean_note_words
R2_B_seed0,R2,0032,128,38,41,8,0,0,41,22,0.45454545454545453,0.6363636363636364,0.09090909090909091,0.3181818181818182,0.45454545454545453,31.954545454545453,,,,,,,,,,,
R2_B_seed0,R2,0064,232,72,76,8,0,0,76,54,0.2222222222222222,0.42592592592592593,0.07407407407407407,0.18518518518518517,0.5185185185185185,22.185185185185187,0032,True,104,0,32,0.0625,0.28125,0.0625,0.09375,0.5625,15.46875
R2_B_seed0,R2,0096,287,85,88,8,0,0,106,67,0.19402985074626866,0.373134328358209,0.1044776119402985,0.14925373134328357,0.5223880597014925,21.62686567164179,0064,True,55,0,13,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.0,0.5384615384615384,19.307692307692307
R2_B_seed0,R2,0128,310,92,91,8,0,0,119,71,0.18309859154929578,0.352112676056338,0.09859154929577464,0.14084507042253522,0.5070422535211268,21.154929577464788,0096,True,23,0,4,0.0,0.0,0.0,0.0,0.25,13.25
R2_B_seed0,R2,0160,356,125,95,8,0,0,128,102,0.12745098039215685,0.2549019607843137,0.0784313725490196,0.09803921568627451,0.5,19.49019607843137,0128,True,46,0,31,0.0,0.03225806451612903,0.03225806451612903,0.0,0.4838709677419355,15.67741935483871
R2_B_seed0,R2,0192,418,165,100,8,0,0,145,140,0.1,0.2,0.18571428571428572,0.07142857142857142,0.42142857142857143,19.05,0160,True,62,0,38,0.02631578947368421,0.05263157894736842,0.47368421052631576,0.0,0.21052631578947367,17.86842105263158
R2_B_seed0,R2,0224,501,206,113,8,0,0,174,175,0.08,0.1657142857142857,0.17714285714285713,0.05714285714285714,0.37142857142857144,18.52,0192,True,83,0,35,0.0,0.02857142857142857,0.14285714285714285,0.0,0.17142857142857143,16.4
R2_B_seed0,R2,0256,550,246,115,8,0,0,181,214,0.06542056074766354,0.13551401869158877,0.14485981308411214,0.04672897196261682,0.35046728971962615,17.990654205607477,0224,True,49,0,39,0.0,0.0,0.0,0.0,0.2564102564102564,15.615384615384615
R2_B_seed0,R2,0288,581,276,115,8,0,0,182,244,0.05737704918032787,0.11885245901639344,0.13934426229508196,0.040983606557377046,0.3319672131147541,17.688524590163933,0256,True,31,0,30,0.0,0.0,0.1,0.0,0.2,15.533333333333333
R2_B_seed0,R2,0320,646,309,126,8,0,0,203,276,0.050724637681159424,0.10507246376811594,0.12318840579710146,0.036231884057971016,0.3079710144927536,17.340579710144926,0288,True,65,0,32,0.0,0.0,0.0,0.0,0.125,14.6875
R2_B_seed0,R2,0352,702,345,132,8,0,0,217,311,0.04501607717041801,0.0932475884244373,0.10932475884244373,0.03215434083601286,0.2733118971061093,17.118971061093248,0320,True,56,0,35,0.0,0.0,0.0,0.0,0.0,15.371428571428572
R2_B_seed0,R2,0384,748,383,133,8,0,0,224,347,0.040345821325648415,0.08357348703170028,0.09798270893371758,0.02881844380403458,0.24495677233429394,16.98270893371758,0352,True,46,0,36,0.0,0.0,0.0,0.0,0.0,15.805555555555555
R2_B_seed0,R2,0416,786,412,134,10,0,0,230,375,0.037333333333333336,0.07733333333333334,0.096,0.02666666666666667,0.22933333333333333,17.042666666666666,0384,True,38,0,28,0.0,0.0,0.07142857142857142,0.0,0.03571428571428571,17.785714285714285
R2_B_seed0,R2,0448,810,436,134,10,0,0,230,398,0.03768844221105527,0.0728643216080402,0.09045226130653267,0.02512562814070352,0.2185929648241206,17.103015075376884,0416,True,24,0,23,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,18.08695652173913
R2_B_seed0,R2,0480,827,452,134,10,0,0,231,412,0.03640776699029126,0.0703883495145631,0.08737864077669903,0.024271844660194174,0.21601941747572814,17.400485436893202,0448,True,17,0,14,0.0,0.0,0.0,0.0,0.14285714285714285,25.857142857142858
R2_B_seed0,R2,0512,856,476,134,10,0,0,236,433,0.03464203233256351,0.06697459584295612,0.08314087759815242,0.023094688221709007,0.22863741339491916,17.669745958429562,0480,True,29,0,21,0.0,0.0,0.0,0.0,0.47619047619047616,22.952380952380953
R2_B_seed0,R2,0544,887,502,134,11,0,0,240,458,0.034934497816593885,0.06331877729257641,0.07860262008733625,0.021834061135371178,0.25109170305676853,17.633187772925766,0512,True,31,0,25,0.04,0.0,0.0,0.0,0.64,17.0
R2_B_seed0,R2,0576,923,536,134,11,0,0,242,490,0.0326530612244898,0.05918367346938776,0.07346938775510205,0.02040816326530612,0.2816326530612245,17.555102040816326,0544,True,36,0,32,0.0,0.0,0.0,0.0,0.71875,16.4375
R2_B_seed0,R2,0608,959,572,134,11,0,0,242,524,0.03625954198473282,0.061068702290076333,0.07061068702290077,0.019083969465648856,0.30343511450381677,17.856870229007633,0576,True,36,0,34,0.08823529411764706,0.08823529411764706,0.029411764705882353,0.0,0.6176470588235294,22.205882352941178
R2_B_seed0,R2,0640,993,605,134,11,0,0,243,553,0.034358047016274866,0.05786618444846293,0.06690777576853527,0.018083182640144666,0.30560578661844484,17.824593128390596,0608,True,34,0,29,0.0,0.0,0.0,0.0,0.3448275862068966,17.24137931034483
R2_B_seed0,R2,0672,1023,633,134,11,0,0,245,575,0.03304347826086956,0.05565217391304348,0.06434782608695652,0.017391304347826087,0.31130434782608696,17.63826086956522,0640,True,30,0,22,0.0,0.0,0.0,0.0,0.45454545454545453,12.954545454545455
R2_B_seed0,R2,0704,1045,654,134,11,0,0,246,592,0.03209459459459459,0.05574324324324324,0.0625,0.016891891891891893,0.32432432432432434,18.10135135135135,0672,True,22,0,17,0.0,0.058823529411764705,0.0,0.0,0.7647058823529411,33.76470588235294
R2_B_seed0,R2,0736,1069,678,134,11,0,0,246,612,0.03104575163398693,0.05555555555555555,0.06045751633986928,0.016339869281045753,0.33169934640522875,18.25,0704,True,24,0,20,0.0,0.05,0.0,0.0,0.55,22.65
R2_B_seed0,R2,0768,1095,702,134,11,0,0,248,630,0.031746031746031744,0.05555555555555555,0.05873015873015873,0.015873015873015872,0.33174603174603173,18.123809523809523,0736,True,26,0,18,0.05555555555555555,0.05555555555555555,0.0,0.0,0.3333333333333333,13.833333333333334
R2_B_seed0,R2,0800,1125,729,134,11,0,0,251,651,0.030721966205837174,0.055299539170506916,0.05683563748079877,0.015360983102918587,0.3379416282642089,18.15514592933948,0768,True,30,0,21,0.0,0.047619047619047616,0.0,0.0,0.5238095238095238,19.095238095238095
R2_B_seed0,R2,0832,1143,747,134,11,0,0,251,661,0.030257186081694403,0.05597579425113464,0.05597579425113464,0.015128593040847202,0.3388804841149773,18.140695915279878,0800,True,18,0,10,0.0,0.1,0.0,0.0,0.4,17.2
R2_B_seed0,R2,0864,1160,761,134,11,0,0,254,672,0.02976190476190476,0.05654761904761905,0.05505952380952381,0.01488095238095238,0.34077380952380953,18.13095238095238,0832,True,17,0,11,0.0,0.09090909090909091,0.0,0.0,0.45454545454545453,17.545454545454547
R2_B_seed0,R2,0896,1173,773,134,11,0,0,255,674,0.02967359050445104,0.05637982195845697,0.05489614243323442,0.01483679525222552,0.34124629080118696,18.212166172106826,0864,True,13,0,2,0.0,0.0,0.0,0.0,0.5,45.5
R2_B_seed0,R2,0928,1196,795,134,11,0,0,256,683,0.029282576866764276,0.055636896046852125,0.05417276720351391,0.014641288433382138,0.3440702781844802,18.412884333821378,0896,True,23,0,9,0.0,0.0,0.0,0.0,0.5555555555555556,33.44444444444444
R2_B_seed0,R2,0960,1210,809,134,11,0,0,256,691,0.02894356005788712,0.05499276410998553,0.053545586107091175,0.01447178002894356,0.34442836468885674,18.575976845151953,0928,True,14,0,8,0.0,0.0,0.0,0.0,0.375,32.5
R2_B_seed0,R2,0992,1234,832,134,11,0,0,257,696,0.028735632183908046,0.05459770114942529,0.05316091954022988,0.014367816091954023,0.34195402298850575,18.492816091954023,0960,True,24,0,5,0.0,0.0,0.0,0.0,0.0,7.0
R2_B_seed0,R2,1024,1247,845,134,11,0,0,257,697,0.028694404591104734,0.054519368723098996,0.05308464849354376,0.014347202295552367,0.3428981348637016,18.55954088952654,0992,True,13,0,1,0.0,0.0,0.0,0.0,1.0,65.0
R2_B_seed1,R2,0032,120,37,38,6,0,0,39,15,0.26666666666666666,0.26666666666666666,0.0,0.2,0.26666666666666666,16.333333333333332,,,,,,,,,,,
