life,arm,sleep,n_items,n_thinking,n_tokens,n_truncated_pass,n_number,n_pct,n_pass,sourced_number,sourced_pct,sourced_pass,share_sourced,share_sourced_any_episode,items_with_unsourced,confabulation_rate,confabulation_rate_any_episode,n_thinking_without_ledger_episode,top_unsourced,prev_sleep,n_new,new_n_thinking,new_share_sourced,new_confabulation_rate,new_confabulation_rate_any_episode
R2_B_seed0,R2,0032,128,38,40,1,6,4,30,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R2_B_seed0,R2,0512,856,476,471,2,29,41,401,0.9655172413793104,1.0,0.9950124688279302,0.9936305732484076,1.0,2,0.004201680672268907,0.0,0,pass:-indvars=1; pass:-loop-vectorize=1; number:17=1,0480,29,24,1.0,0.0,0.0
R2_B_seed0,R2,1024,1247,845,1154,6,30,156,968,0.9666666666666667,1.0,0.9958677685950413,0.9956672443674177,1.0,4,0.004733727810650888,0.0,0,pass:-indvars=1; pass:-loop-vectorize=1; number:17=1; pass:-simpl=1; pass:-simplify=1,0992,13,13,1.0,0.0,0.0
R2_B_seed1,R2,0032,120,37,8,0,0,0,8,,,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R2_B_seed1,R2,0512,806,470,1637,3,62,646,929,1.0,1.0,0.9989235737351991,0.9993891264508247,1.0,1,0.002127659574468085,0.0,0,pass:-simp=1,0480,23,22,1.0,0.0,0.0
R2_B_seed1,R2,1024,1290,928,3799,3,70,2115,1614,1.0,1.0,0.9993804213135068,0.9997367728349565,1.0,1,0.0010775862068965517,0.0,0,pass:-simp=1,0992,27,26,1.0,0.0,0.0
R2_B_seed5,R2,0032,113,35,23,0,8,4,11,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R2_B_seed5,R2,0512,744,492,3957,0,104,443,3410,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,0480,35,35,1.0,0.0,0.0
R2_B_seed5,R2,1024,1179,915,5198,0,112,852,4234,0.9910714285714286,1.0,0.999763816721776,0.9996152366294728,1.0,2,0.002185792349726776,0.0,0,number:64=1; pass:-inline=1,0992,36,33,0.9411764705882353,0.030303030303030304,0.0
R2_B_seed6,R2,0032,118,37,22,0,4,3,15,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R2_B_seed6,R2,0512,699,422,492,0,37,31,424,0.972972972972973,1.0,1.0,0.9979674796747967,1.0,1,0.002369668246445498,0.0,0,number:44=1,0480,18,18,,0.0,0.0
R2_B_seed6,R2,1024,995,714,492,0,37,31,424,0.972972972972973,1.0,1.0,0.9979674796747967,1.0,1,0.0014005602240896359,0.0,0,number:44=1,0992,25,25,,0.0,0.0
R3_B_seed500,R3,0032,120,39,15,0,2,3,10,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R3_B_seed500,R3,0512,867,517,5596,8,524,774,4298,0.9942748091603053,1.0,0.9969753373662168,0.9971408148677627,0.9998213009292352,9,0.017408123791102514,0.0019342359767891683,0,pass:-indvars=3; pass:-loop-unroll=3; pass:-deadargelim=3; number:15=2; pass:-instco=2; pass:-simplify=1; number:60=1; pass:-indvar=1,0480,25,24,1.0,0.0,0.0
R3_B_seed500,R3,1024,1088,716,8696,10,887,1154,6655,0.9966178128523112,1.0,0.9980465815176559,0.9981600735970562,0.999885004599816,9,0.012569832402234637,0.0013966480446927375,0,pass:-indvars=3; pass:-loop-unroll=3; pass:-deadargelim=3; number:15=2; pass:-instco=2; pass:-simplify=1; number:60=1; pass:-indvar=1,0992,15,14,1.0,0.0,0.0
R3_B_seed501,R3,0032,133,40,31,0,8,4,19,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R3_B_seed501,R3,0512,792,519,7671,16,878,1104,5689,0.9977220956719818,1.0,0.8133239585164352,0.861295789336462,0.9847477512710208,258,0.49710982658959535,0.18497109826589594,0,pass:-reassociate=233; pass:-indvars=204; pass:-dce=202; pass:-instcombine=157; pass:-loop-unroll=112; pass:-loop-unro=14; pass:-ind=12; pass:-reassoci=10; pass:-indvar=9; pass:-reass=8,0480,29,29,0.9077809798270894,0.3793103448275862,0.20689655172413793
R3_B_seed501,R3,1024,1123,805,15154,19,2069,2383,10702,0.9990333494441759,1.0,0.846477293963745,0.8914478025603801,0.9915533852448198,381,0.47329192546583854,0.13167701863354037,0,pass:-dce=451; pass:-reassociate=425; pass:-instcombine=275; pass:-indvars=204; pass:-loop-unroll=112; pass:-loop-unro=14; pass:-reassociat=14; pass:-ind=12; pass:-reassoci=10; pass:-indvar=9,0992,14,11,0.9561586638830898,0.45454545454545453,0.0
R3_B_seed502,R3,0032,110,33,19,0,2,1,16,1.0,1.0,0.9375,0.9473684210526315,0.9473684210526315,1,0.030303030303030304,0.030303030303030304,0,pass:-related=1,,,,,,
R3_B_seed502,R3,0512,840,491,5233,4,87,263,4883,0.9770114942528736,1.0,0.9993856235920541,0.9990445251289891,0.9998089050257978,5,0.010183299389002037,0.002036659877800407,0,pass:-loop-vectorize=2; number:72=2; pass:-related=1,0480,29,26,0.9971264367816092,0.038461538461538464,0.0
R3_B_seed502,R3,1024,1058,689,7739,28,101,492,7146,0.9405940594059405,1.0,0.9995801847187238,0.9988370590515571,0.9998707843390618,9,0.013062409288824383,0.001451378809869376,0,number:72=5; pass:-loop-vectorize=2; pass:-related=1; number:67=1,0992,10,7,1.0,0.0,0.0
R4_B_seed604,R4,0032,118,36,27,1,0,2,25,,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R4_B_seed604,R4,0512,765,502,3085,8,133,195,2757,1.0,1.0,0.976423648893725,0.9789303079416531,0.9996758508914101,25,0.049800796812749,0.00199203187250996,0,pass:-loop-rotate=23; pass:-deadargelim=15; pass:-reassociation=8; pass:-instcombine=7; pass:-deadcodeelim=4; pass:-loop-unroll=4; pass:-mem2re=2; pass:-simplif=1; pass:-instcombin=1,0480,19,19,1.0,0.0,0.0
R4_B_seed604,R4,1024,928,662,4119,10,134,211,3774,1.0,1.0,0.9825119236883942,0.9839766933721777,0.9997572226268512,26,0.03927492447129909,0.0015105740181268882,0,pass:-loop-rotate=23; pass:-deadargelim=15; pass:-reassociation=8; pass:-instcombine=8; pass:-deadcodeelim=4; pass:-loop-unroll=4; pass:-mem2re=2; pass:-simplif=1; pass:-instcombin=1,0992,2,2,1.0,0.0,0.0
R4_B_seed605,R4,0032,110,34,5,0,0,0,5,,,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R4_B_seed605,R4,0512,704,426,989,0,33,38,918,1.0,1.0,0.9967320261437909,0.9969666329625885,1.0,3,0.007042253521126761,0.0,0,pass:-simp=1; pass:-sro=1; pass:-simplifie=1,0480,16,14,1.0,0.0,0.0
R4_B_seed606,R4,0032,111,33,13,0,1,1,11,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R4_B_seed606,R4,0512,894,474,1535,44,37,75,1423,1.0,1.0,0.9985945186226283,0.9986970684039088,0.9993485342019544,2,0.004219409282700422,0.002109704641350211,0,pass:-benchmark=1; pass:-simplify=1,0480,14,11,1.0,0.0,0.0
R4_B_seed606,R4,1024,1208,748,2320,86,43,83,2194,1.0,1.0,0.9968094804010939,0.9969827586206896,0.9995689655172414,6,0.008021390374331552,0.001336898395721925,0,pass:-simpli=2; pass:-benchmark=1; pass:-simplify=1; pass:-simplifie=1; pass:-sro=1; pass:-loop=1,0992,28,25,1.0,0.0,0.0
R5_B_seed700,R5,0032,119,38,26,0,8,4,14,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R5_B_seed701,R5,0032,124,37,49,2,8,8,33,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R5_B_seed702,R5,0032,122,36,11,0,0,2,9,,1.0,0.8888888888888888,0.9090909090909091,1.0,1,0.027777777777777776,0.0,0,pass:-cfgrau=1,,,,,,
RP_B_seed402,RP,0032,112,34,5,0,0,0,5,,,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
RP_B_seed402,RP,0512,669,429,3135,6,258,260,2617,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,0480,33,32,1.0,0.0,0.0
RP_B_seed402,RP,1024,1170,888,6366,8,762,785,4819,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,0992,28,27,1.0,0.0,0.0
R_B_seed0,R,0032,116,35,31,0,1,2,28,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R_B_seed0,R,0512,679,417,831,0,20,15,796,1.0,1.0,0.9974874371859297,0.9975932611311673,0.9975932611311673,2,0.004796163069544364,0.004796163069544364,0,pass:-mem2ro=2,0480,15,12,1.0,0.0,0.0
R_B_seed0,R,1024,994,548,884,0,20,20,844,1.0,1.0,0.9976303317535545,0.997737556561086,0.997737556561086,2,0.0036496350364963502,0.0036496350364963502,0,pass:-mem2ro=2,0992,6,4,1.0,0.0,0.0
R_B_seed1,R,0032,140,43,40,0,6,6,28,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R_B_seed2,R,0032,114,35,14,0,0,1,13,,1.0,1.0,1.0,1.0,0,0.0,0.0,0,,,,,,,
R_B_seed2,R,0512,979,618,2943,8,67,91,2785,1.0,1.0,0.9895870736086176,0.9901461094121644,0.9983010533469249,22,0.03559870550161812,0.006472491909385114,0,pass:-reassociate=15; pass:-deadargelim=8; pass:-instco=2; pass:-redundant=1; pass:-unknown=1; pass:-reass=1; pass:-dead=1,0480,46,46,0.9949494949494949,0.021739130434782608,0.021739130434782608
