row_id,generated_text_tokens,eligible_for_semantic_review,semantic_status,admitted,raw_sha256,capture_sha256
FULL_TARGET/0/0/0,40,False,FAIL_NECESSARY_CONDITIONS,False,fce5f7b12ecf309d45b7f7603e1aa936e0cb830c73fdd1b6ff24b3c47ba2de5d,96153ac095040afa4078007520b439ef663ef8751494ea1e135d7990f0b92770
FULL_TARGET/0/1/0,34,False,FAIL_NECESSARY_CONDITIONS,False,9c9dc83742b5ce5aa014b9b5c935105ad25acac6c79b4e882ea82c0416590fb7,fd14d3e04b134487dcb49ebe0b84f0ef50bf832b31b5848594cd21e12de9079d
FULL_TARGET/0/1/1,133,False,FAIL_NECESSARY_CONDITIONS,False,8577dae7072c7061205e9722d0e85648b6a77cfcc56c0b5926320c82cef75062,0ccc7a89cb7991e5d9fe5551f231689f241d2b6e8653be6b287d44cc0b0bb150
FULL_TARGET/0/1/2,110,False,FAIL_NECESSARY_CONDITIONS,False,075d978f8efd931f0e57eb7921652a1b373bf377f62e3118da83f4e9f88e1ba4,36e9595d9aba54a1d01aad87805a67e78b8fdac541a31b53a5756ab91eeea6da
FULL_TARGET/0/1/3,134,False,FAIL_NECESSARY_CONDITIONS,False,795aadb6d668ccb50d645edbafa20724859d88ca8166467af516a45546f0b047,c67eb3c0b3ee154da8a0538171d34b0312626c25ba24ecdc9b8dd5c2d6d2d3e3
FULL_TARGET/0/1/4,123,False,FAIL_NECESSARY_CONDITIONS,False,0814c543c87c6c05e5bb67d938a1d9776e55498d1e592b8f5e81ad74575e886c,824c5f6ca52a3280777fa47e7b76c6ba66ec936063124c33c6650ae85eb1db71
FULL_TARGET/1/0/0,36,False,FAIL_NECESSARY_CONDITIONS,False,c992b98c272c9bfbda0f7fd47d1ea45531c578a37b05a7dbeb4f9ad7b61b19cb,aba79c074eb685ab102f76826c808251e93fa7ba382a87d19c50c8482fbd81aa
FULL_TARGET/1/0/1,125,False,FAIL_NECESSARY_CONDITIONS,False,c0e86f3e9f9fbd2c31d6587681a1bfefc50ebd1d8417b72b221be76560d5fe6e,cf357da91a501d458359c9ad861bc4445c33bcc277676a8e5cb43a832e0e3b53
FULL_TARGET/1/0/2,134,False,FAIL_NECESSARY_CONDITIONS,False,39b41710ade2be52f681eb6cd08f94828b79c673f6808562a75c0c2d3272c56e,76840857212dcd9c69e18bcbcc83cf793021e87b4e094a725b64148b0c9ebca1
FULL_TARGET/1/0/3,107,False,FAIL_NECESSARY_CONDITIONS,False,e5245a8879bbf2fb9f4bae65452793e02093a888829553e25ab8ff67c18a45bf,7f9584f68592aff15dc467b60aa128735409c32a8afa200eb43a5364a6823b32
FULL_TARGET/1/1/0,34,False,FAIL_NECESSARY_CONDITIONS,False,a269411dfc1296b9b2ecc2137323191239153f750552530e4d490ae8524b4078,6a5a390f7b06da81605b9f6fbb227f5723a5f4c09649bbc269f8151f398cfede
FULL_TARGET/1/1/1,116,False,FAIL_NECESSARY_CONDITIONS,False,f87c7a9c36bb93ebd865e042dfa3726234cc7dde2bbaafe8b14e1db61be19dd1,8767ed7b5bc6fef0de2ca23abe1fdee762a5972ec30721ba41a0f3e59e07c79b
FULL_TARGET/1/1/2,100,False,FAIL_NECESSARY_CONDITIONS,False,1246498d8579aed9f1738120a19c151cfca6bfe15d942d33512f57b1bbeaf04c,70bdc1eac0a228cc072ff840436b0f6f1bf5feadc3e1322727e2da2a27e63b89
